need_id,column_name,display_text
N07,skin_nail_care_3,清潔・整容　めったに、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣をせず、汚れている
N07,bedsore_wound_1, 皮膚・爪の状態　全身の皮膚や爪の汚れ、発赤、湿疹、水疱、かゆみ、発汗、悪臭、ドライスキンなくきれいである
N07,bedsore_wound_2, 皮膚・爪の状態　足の色の変化、冷感、足背動脈や後脛骨動脈の拍知、痛みや知覚障がいがある
N07,bedsore_wound_3, 皮膚・爪の状態　爪白癬、まき爪、肥厚爪（肥厚爪甲）、脚趾、壊疽、外反母趾、内反小趾、
N08,urination_status_1,尿の状態　問題あり(血が混じっている・濁っている・フワフワ浮いているものがある・強い尿臭あり)
N08,urination_1,尿意　あり
N08,urination_frequency_1,尿の回数　１日１～２回
N08,urination_frequency_2,尿の回数　昼間８回以上・夜間３回以上
N08,urination_control_1,排尿のコントロール　くしゃみ・咳で漏れる、トイレに間に合わない、下腹部に違和感がある
N08,urination_control_2,排尿のコントロール　いつもお腹に力を入れいきんで出している、残尿感がある、陰部が痒い
N08,urination_control_3,排尿のコントロール　昼夜問わず失禁する、排尿痛がある、下腹部が痛い
N08,defecation_status_a,便の状態　問題あり　コロコロ便
N08,defecation_status_b,便の状態　問題あり　凸凹した硬い便
N08,defecation_status_c,便の状態　問題あり　軟らかすぎていない状態
N08,defecation_status_d,便の状態　問題あり　水様便
N08,defecation_status_e,便の状態　問題あり　色がついている便（あざやかな赤色、白色、黒色、鉛色、黄色、赤褐色）
N08,defecation_frequency_1,排便の周期　排便の周期がなく　お腹が張って苦しい
N08,defecation_frequency_2,排便の周期　決まった時間（食後）に排便訓練をしていないので便秘となっている
N08,defecation_control_1,排便コントロール　通常は便失禁しない（まれにある）
N08,defecation_control_2,排便コントロール　月に何回か失禁するが毎週ではない
N08,defecation_control_3,排便コントロール　週に1回以上失禁するが、若干コントロールが保たれている
N08,defecation_control_4,排便コントロール　完全な失禁状態（コントロールできない）で汚れてしまう
N08,defecation_method_1,排便の調整方法　食事や水分・腸の刺激、排便訓練など、時々の下剤で調整できている
N08,defecation_method_2,排便の調整方法　下剤、敵便、浣腸等で主に調整。食事、運動、排便訓練はたまに行う
N08,defecation_method_3,排便の調整方法　一貫して下剤・敵便・浣腸で調整。食事、水分、運動、排便訓練はほとんど行う
N08,defecation_method_4,排便の調整方法　多剤の下剤使用、食事、水分、運動等の刺激・調整が全くない
N09,bedsore_wound_1,皮膚・爪の状態　全身の皮膚や爪の汚れ、発赤、湿疹、水疱、かゆみ、発汗、悪臭、ドライスキンなくきれいである
N09,bedsore_wound_2,皮膚・爪の状態　足の色の変化、冷感、足背動脈や後脛骨動脈の拍知、痛みや知覚障がいがある
N09,bedsore_wound_3,皮膚・爪の状態　爪白癬、まき爪、肥厚爪（肥厚爪甲）、脚趾、壊疽、外反母趾、内反小趾、
N09,skin_condition_1,創傷　傷が治るために盛り上がった肉のかたまりができている
N09,skin_condition_2,創傷　盛り上がった新しい肉のかたまりができはじめたばかり
N09,skin_condition_3,創傷　治療はしていない、放置状態である
N09,urination_control_1,排尿のコントロール　くしゃみ・咳で漏れる、トイレに間に合わない、下腹部に違和感がある
N09,urination_control_2,排尿のコントロール　いつもお腹に力を入れいきんで出している、残尿感がある、陰部が痒い
N09,urination_control_3,排尿のコントロール　昼夜問わず失禁する、排尿痛がある、下腹部が痛い
N09,defecation_control_1,排便コントロール　通常は便失禁しない（まれにある）
N09,defecation_control_2,排便コントロール　月に何回か失禁するが毎週ではない
N09,defecation_control_3,排便コントロール　週に1回以上失禁するが、若干コントロールが保たれている
N09,defecation_control_4,排便コントロール　完全な失禁状態（コントロールできない）で汚れてしまう
N09,wound_depth_d1,褥瘡深さ　真皮までの損傷
N09,wound_depth_d3,褥瘡深さ　皮下組織までの損傷
N09,wound_depth_d4,褥瘡深さ　皮下組織を超える損傷
N09,wound_depth_d5,褥瘡深さ　関節腔、体腔に至る損傷
N09,wound_depth_dti,褥瘡深さ　深部損傷疑い(DTI)
N09,wound_depth_du,褥瘡深さ　壊死組織で覆われ深さの判定が不能
N09,wound_exudate_e1,褥瘡滲出液　少量・毎日のドレッシング交換をしない
N09,wound_exudate_e3,褥瘡滲出液　中等量・1日1回のドレッシング交換を必要とする
N09,wound_exudate_e6,褥瘡滲出液　多量・1日2回以上のドレッシング交換を必要とする
N09,wound_size_s3,褥瘡大きさ　4未満（長径cm×短径（長径と直行する最長径）cm）
N09,wound_size_s6,褥瘡大きさ　4以上16未満
N09,wound_size_s8,褥瘡大きさ　16以上36未満
N09,wound_size_s9,褥瘡大きさ　36以上64未満
N09,wound_size_s12,褥瘡大きさ　64以上100未満
N09,wound_size_s15,褥瘡大きさ　100以上
N09,wound_infection_i1,褥瘡炎症・感染　局所の炎症兆候あり（創周囲の発赤・腫脹・熱感・疼痛）
N09,wound_infection_i3,褥瘡炎症・感染　臨床的定着疑い（創面にぬめりがあり、浸出液が多い。肉芽があれば、浮腫性で脆弱など）※5
N09,wound_infection_i3c,褥瘡炎症・感染　局所の明らかな感染徴候あり（炎症兆候、膿、悪臭など）
N09,wound_infection_i9,褥瘡炎症・感染　全身的影響あり
N09,wound_granulation_g1,褥瘡肉芽組織　良性肉芽が創面の90%以上を占める
N09,wound_granulation_g3,褥瘡肉芽組織　良性肉芽が創面の50%以上90%未満を占める
N09,wound_granulation_g4,褥瘡肉芽組織　良性肉芽が創面の10%以上50%未満を占める
N09,wound_granulation_g5,褥瘡肉芽組織　良性肉芽が創面の10%未満を占める
N09,wound_granulation_g6,褥瘡肉芽組織　良性肉芽が全く形成されていない
N09,wound_necrosis_n3,褥瘡壊死組織　柔らかい壊死組織あり
N09,wound_necrosis_n6,褥瘡壊死組織　硬く厚い密着した壊死組織あり
N09,wound_pocket_p6,褥瘡ポケット　4未満
N09,wound_pocket_p6_4to16,褥瘡ポケット　4以上16未満
N09,wound_pocket_p12,褥瘡ポケット　16以上36未満
N09,wound_pocket_p24,褥瘡ポケット　36以上
N09,has_bedsore_1,褥瘡の有無　あり
N09,has_pain_1,痛みの有無　あり
N09,has_paralysis_1,麻痺の有無　あり
N09,has_kannsetsu_1,関節拘縮の有無　あり
N09,pain_diagram_1,身体状態図（痛み）　レベル1
N09,pain_diagram_2,身体状態図（痛み）　レベル2
N09,pain_diagram_3,身体状態図（痛み）　レベル3
N09,pain_diagram_4,身体状態図（痛み）　レベル4
N09,mahi_diagram_1,身体状態図（麻痺）　レベル1
N09,mahi_diagram_2,身体状態図（麻痺）　レベル2
N09,mahi_diagram_3,身体状態図（麻痺）　レベル3
N09,kan_diagram_1,身体状態図（関節）　レベル1
N09,kan_diagram_2,身体状態図（関節）　レベル2
N09,kan_diagram_3,身体状態図（関節）　レベル3
N09,jokusou_diagram_1,褥瘡図　レベル1
N09,jokusou_diagram_2,褥瘡図　レベル2
N10,swallowing_1,嚥下　お茶や汁物を含ませてしまいむせ込みにくい
N10,swallowing_2,嚥下　口腔移動がうまく、呑み込むにくい
N10,swallowing_3,嚥下　おかゆ・ゼリー・とろみ食でも含ませてしまい呑み込みにくい
N10,swallowing_4,嚥下　嚥下できない
N10,oral_teeth_gum_1,開口　開口には応じないが徒手的に2横指程度開口可能（要注意）
N10,oral_teeth_gum_2,開口　食いしばりや顎関節の拘縮のため開口量が1横指程度（問題あり）
N10,basic1_eating_2,基本動作（身辺動作）　① 食事摂取　少しの助けでできる
N10,basic1_eating_3,基本動作（身辺動作）　① 食事摂取　多くの助けでできる
N10,basic1_eating_4,基本動作（身辺動作）　① 食事摂取　全面依存
N10,basic1_eating_5,基本動作（身辺動作）　① 食事摂取　動作をしていない（能力に関わらず）
N10,basic1_face_hair_1,基本動作（身辺動作）　② 洗顔・整髪・洗髪　見守や助言があればできる
